_id,dados_extraidos,erro
6625282d49c450d713adb901,"```json
{
  ""organizacao_criminosa"": ""Não especificado"",
  ""pais"": ""Brasil"",
  ""estado"": ""MG"",
  ""municipio"": ""Contagem"",
  ""data"": ""17-07-2023"",
  ""houve_conflito"": ""Não"",
  ""apreensao_drogas"": ""Não"",
  ""drogas_apreendidas"": [],
  ""quantidade_drogas"": ""Não especificado"",
  ""apreensao_armas"": ""Não"",
  ""armas_apreendidas"": [],
  ""primeiro_ator"": ""Suspeito de tráfico de drogas"",
  ""segundo_ator"": ""Policiais Militares"",
  ""relacao_entre_atores"": ""Confronto""
}
```",
6625283649c450d713adb90d,"```json
{
  ""organizacao_criminosa"": ""Não especificado"",
  ""pais"": ""Brasil"",
  ""estado"": ""Não especificado"",
  ""municipio"": ""Brasília"",
  ""data"": ""Não especificado"",
  ""houve_conflito"": ""Não"",
  ""apreensao_drogas"": ""Não"",
  ""drogas_apreendidas"": [],
  ""quantidade_drogas"": ""Não especificado"",
  ""apreensao_armas"": ""Não"",
  ""armas_apreendidas"": [],
  ""primeiro_ator"": ""Erenice Guerra"",
  ""segundo_ator"": ""Israel Guerra"",
  ""relacao_entre_atores"": ""Não especificado""
}
```",
6625284949c450d713adb92f,"```json
{
  ""organizacao_criminosa"": ""Não especificado"",
  ""pais"": ""Brasil"",
  ""estado"": ""SP"",
  ""municipio"": ""Guaianases"",
  ""data"": ""11-10-2023"",
  ""houve_conflito"": ""Não"",
  ""apreensao_drogas"": ""Sim"",
  ""drogas_apreendidas"": [
    ""cocaína"",
    ""maconha""
  ],
  ""quantidade_drogas"": ""1 kg de cocaína (aproximadamente) + 133 invólucros de cocaína + um papelote de maconha"",
  ""apreensao_armas"": ""Sim"",
  ""armas_apreendidas"": [
    ""arma de fogo"",
    ""revólver calibre 38"",
    ""duas armas""
  ],
  ""primeiro_ator"": ""Ajudante de 28 anos"",
  ""segundo_ator"": ""Pedreiro de 40 anos"",
  ""relacao_entre_atores"": ""Não especificado""
}
```",
6625285b49c450d713adb954,"```json
{
  ""organizacao_criminosa"": ""Milícias"",
  ""pais"": ""Brasil"",
  ""estado"": ""RJ"",
  ""municipio"": ""Campo Grande"",
  ""data"": ""02-07-2024"",
  ""houve_conflito"": ""Sim"",
  ""apreensao_drogas"": ""Não"",
  ""drogas_apreendidas"": [],
  ""quantidade_drogas"": ""Não especificado"",
  ""apreensao_armas"": ""Não"",
  ""armas_apreendidas"": [],
  ""primeiro_ator"": ""Milícia"",
  ""segundo_ator"": ""Cabo do Bope e primo"",
  ""relacao_entre_atores"": ""Confronto""
}
```",
662528e049c450d713adb9f8,"```json
{
  ""organizacao_criminosa"": ""Não especificado"",
  ""pais"": ""Brasil"",
  ""estado"": ""RJ"",
  ""municipio"": ""Rio das Ostras"",
  ""data"": ""14-02-2011"",
  ""houve_conflito"": ""Não"",
  ""apreensao_drogas"": ""Não"",
  ""drogas_apreendidas"": [],
  ""quantidade_drogas"": ""Não especificado"",
  ""apreensao_armas"": ""Sim"",
  ""armas_apreendidas"": [
    ""pistolas"",
    ""revólveres"",
    ""escopetas""
  ],
  ""primeiro_ator"": ""Delegado Cláudio Ferraz"",
  ""segundo_ator"": ""Allan Turnowski"",
  ""relacao_entre_atores"": ""Confronto""
}
```",
662528e349c450d713adb9fb,"```json
{
  ""organizacao_criminosa"": ""Não especificado"",
  ""pais"": ""Brasil"",
  ""estado"": ""MA"",
  ""municipio"": ""Bacabal"",
  ""data"": ""01-08-2024"",
  ""houve_conflito"": ""Não"",
  ""apreensao_drogas"": ""Não"",
  ""drogas_apreendidas"": [],
  ""quantidade_drogas"": ""Não especificado"",
  ""apreensao_armas"": ""Não"",
  ""armas_apreendidas"": [],
  ""primeiro_ator"": ""Presos"",
  ""segundo_ator"": ""Justiça do Maranhão"",
  ""relacao_entre_atores"": ""Confronto""
}
```",
662528f749c450d713adba15,"```json
{
  ""organizacao_criminosa"": ""Não especificado"",
  ""pais"": ""Brasil"",
  ""estado"": ""Não especificado"",
  ""municipio"": ""Não especificado"",
  ""data"": ""15-02-2024"",
  ""houve_conflito"": ""Não"",
  ""apreensao_drogas"": ""Não"",
  ""drogas_apreendidas"": [],
  ""quantidade_drogas"": ""Não especificado"",
  ""apreensao_armas"": ""Sim"",
  ""armas_apreendidas"": [""seis armas sem registro""],
  ""primeiro_ator"": ""Delegado Cláudio Ferraz"",
  ""segundo_ator"": ""Allan Turnowski (Chefe de Polícia Civil)"",
  ""relacao_entre_atores"": ""Não especificado""
}
```",
6625290449c450d713adba32,"```json
{
  ""organizacao_criminosa"": ""Não especificado"",
  ""pais"": ""Brasil"",
  ""estado"": ""SP"",
  ""municipio"": ""Carapicuíba"",
  ""data"": ""10-08-2023"",
  ""houve_conflito"": ""Não"",
  ""apreensao_drogas"": ""Sim"",
  ""drogas_apreendidas"": [
    ""Maconha""
  ],
  ""quantidade_drogas"": ""307 tijolos (aproximadamente 1,6 tonelada)"",
  ""apreensao_armas"": ""Não"",
  ""armas_apreendidas"": [],
  ""primeiro_ator"": ""Polícia Militar"",
  ""segundo_ator"": ""Traficantes"",
  ""relacao_entre_atores"": ""Confronto""
}
```",
6625290c49c450d713adba44,"```json
{
  ""organizacao_criminosa"": ""Não especificado"",
  ""pais"": ""Brasil"",
  ""estado"": ""RS"",
  ""municipio"": ""Jaguarão e Pelotas"",
  ""data"": ""08-08-2023"",
  ""houve_conflito"": ""Não"",
  ""apreensao_drogas"": ""Sim"",
  ""drogas_apreendidas"": [
    ""crack""
  ],
  ""quantidade_drogas"": ""Não especificado"",
  ""apreensao_armas"": ""Não especificado"",
  ""armas_apreendidas"": [],
  ""primeiro_ator"": ""Três quadrilhas de tráfico de drogas"",
  ""segundo_ator"": ""Polícia Federal"",
  ""relacao_entre_atores"": ""Confronto""
}
```",
6625290f49c450d713adba4c,"```json
{
  ""organizacao_criminosa"": ""Não especificado"",
  ""pais"": ""Brasil"",
  ""estado"": ""RJ"",
  ""municipio"": ""Rio de Janeiro"",
  ""data"": ""06-08-2023"",
  ""houve_conflito"": ""Não"",
  ""apreensao_drogas"": ""Não especificado"",
  ""drogas_apreendidas"": [],
  ""quantidade_drogas"": ""Não especificado"",
  ""apreensao_armas"": ""Não especificado"",
  ""armas_apreendidas"": [],
  ""primeiro_ator"": ""Polícia Civil"",
  ""segundo_ator"": ""Traficantes (implícito)"",
  ""relacao_entre_atores"": ""Confronto""
}
```",
